Date;Open;High;Low;Close;Volume
02/18/2020;11.45;11.45;11.45;11.45;0
02/14/2020;11.45;11.45;11.45;11.45;0
02/13/2020;11.41;11.45;11.41;11.45;365
02/12/2020;11.45;11.45;11.45;11.45;539
02/11/2020;11.6186;11.6186;11.6;11.6;540
02/10/2020;11.5;11.5;11.5;11.5;109
02/07/2020;11.29;11.29;11.25;11.25;370
02/06/2020;10.75;10.75;10.75;10.75;0
02/05/2020;10.75;10.89;10.75;10.75;1,455
02/04/2020;9.762;9.762;9.762;9.762;0
02/03/2020;9.762;9.762;9.762;9.762;0
01/31/2020;9.762;9.762;9.762;9.762;0
01/30/2020;9.762;9.762;9.762;9.762;0
01/29/2020;9.762;9.762;9.762;9.762;0
01/28/2020;9.762;9.762;9.762;9.762;0
01/27/2020;9.762;9.762;9.762;9.762;0
01/24/2020;10;10;9.762;9.762;827
01/23/2020;9.95;9.95;9.95;9.95;0
01/22/2020;9.95;9.95;9.95;9.95;1,800
01/21/2020;10.7;10.7;10.7;10.7;0
01/17/2020;10.7;10.7;10.7;10.7;0
01/16/2020;10.7;10.7;10.7;10.7;0
01/15/2020;10.7;10.7;10.7;10.7;0
01/14/2020;10.7;10.7;10.7;10.7;0
01/13/2020;10.7;10.7;10.7;10.7;0
01/10/2020;10.7;10.7;10.7;10.7;0
01/09/2020;10.7;10.7;10.7;10.7;0
01/08/2020;10.7;10.7;10.7;10.7;0
01/07/2020;10.7;10.7;10.7;10.7;0
01/06/2020;10.7;10.7;10.7;10.7;0
01/03/2020;10.7;10.7;10.7;10.7;0
01/02/2020;10.7;10.7;10.7;10.7;0
12/31/2019;10.7;10.7;10.7;10.7;0
12/30/2019;10.7;10.7;10.7;10.7;0
12/27/2019;10.7;10.7;10.7;10.7;0
12/26/2019;10.7;10.7;10.7;10.7;0
12/24/2019;10.7;10.7;10.7;10.7;0
12/23/2019;10.7;10.7;10.7;10.7;600
12/20/2019;10.605;10.605;10.605;10.605;0
12/19/2019;10.6761;10.6761;10.605;10.605;504
12/18/2019;10.8;10.8;10.8;10.8;0
12/17/2019;10.8;10.8;10.8;10.8;0
12/16/2019;10.8;10.8;10.8;10.8;200
12/13/2019;10.05;10.05;10.05;10.05;0
12/12/2019;10.05;10.05;10.05;10.05;0
12/11/2019;10.05;10.05;10.05;10.05;1,225
12/10/2019;9.55;9.55;9.55;9.55;0
12/09/2019;9.55;9.55;9.55;9.55;0
12/06/2019;9.55;9.55;9.55;9.55;0
12/05/2019;9.55;9.55;9.55;9.55;0
12/04/2019;9.55;9.55;9.55;9.55;275
12/03/2019;9.75;9.75;9.75;9.75;0
12/02/2019;9.75;9.75;9.75;9.75;3,232
11/29/2019;9.75;9.75;9.75;9.75;0
11/27/2019;9.75;9.75;9.75;9.75;0
11/26/2019;9.75;9.75;9.75;9.75;0
11/25/2019;9.75;9.75;9.75;9.75;1,025
